Sa [cm/s^2],EDP [cm]
134.5503547,2.007139716
532.9274018,4.994933368
342.3002879,5.254859645
318.3797105,5.284670363
145.1215455,3.220987925
255.3041454,3.586901451
168.6103272,2.860728876
189.4650361,3.027295967
167.6797747,1.804782299
135.2034885,2.074857054
142.8855351,2.716247192
198.7735628,3.049256144
98.37700673,2.527832257
292.4625307,5.236980516
207.6122412,3.783560066
305.3893816,5.441796829
249.3093707,6.794676197
277.2194512,4.051231634
108.931579,4.353006823
135.5532462,4.146514183
177.7122961,4.333563047
231.1619071,2.280710409
374.0954963,4.647380619
191.396043,2.351600291
398.3177295,5.927230245
274.7603532,3.269768017
382.2014713,4.874834283
233.0574769,5.576078376
160.9430492,2.121212931
109.0202218,1.362571975
236.2209891,3.173664488
323.1076816,4.52337004
191.1588509,3.934538247
170.010581,3.122926799
189.7146899,2.996006324
130.7527605,2.658653071
173.8911314,2.296671315
201.5303455,3.704558321
224.2972568,4.840167059
212.9777798,3.550053739
292.9789373,6.107946296
231.1246853,3.476224276
517.0934921,8.84677471
254.3501344,2.870503154
514.772902,6.859690604
155.9802047,3.295246075
281.4763498,3.336594286
194.1013151,2.280169162
291.4339843,3.849510423
290.5800849,4.184536517
78.15415933,2.441728774
117.2663858,1.784424277
111.1200008,2.909840386
265.3743186,3.917001961
439.5768267,5.153223813
188.0930926,2.978382624
322.1584445,8.360796391
284.0131067,3.753891415
133.55948,3.754249109
264.826132,4.274559012
153.8744751,2.475130307
449.2470754,7.365778948
216.1416469,3.72007789
475.3885474,6.259123075
179.5633944,3.568950588
289.9634031,3.950926014
213.0775943,6.159424817
84.45200013,1.868226566
138.0171223,3.204433954
293.1417525,5.850490127
213.8747593,2.814388161
129.392487,3.629744216
163.2738099,3.791214539
246.9498126,3.278631156
137.3091175,2.812911849
347.8827343,4.028703722
162.1722325,4.018840386
515.8363667,6.744006219
131.7900007,3.182000309
241.1480381,3.966125246
106.9984259,2.317808871
155.9426575,2.504684878
165.8490009,2.643203221
265.3106248,3.988939196
342.531416,9.418973617
252.9676301,5.061280252
184.0277143,3.708655228
322.6405357,5.561556037
320.1202079,8.903815041
232.3164417,4.27685517
287.4831148,5.254681544
266.7507325,3.588876313
137.7025583,2.586276787
314.2293693,3.623996797
160.9137535,3.350008592
165.0153179,2.494659231
238.6275636,5.509777935
189.8167331,4.223473209
206.2416135,3.427165527
290.7760105,4.081285751
359.8982629,3.667800452
199.8977356,4.242968328
256.2379759,5.092498675
196.124315,3.275850513
244.6368593,6.787469041
270.2005029,4.94482799
164.0091437,3.446227063
249.9211224,4.03282373
291.5661098,5.466489207
229.2750223,3.109354648
496.9361221,6.446545189
164.6541064,2.290126199
154.9565765,2.061940198
96.03459562,1.245413592
337.4482548,7.511849792
330.6005481,2.910883128
211.363187,6.51090294
335.539773,6.047294824
239.3904051,2.253209653
251.8116562,3.938147264
231.521019,4.762962325
270.1946679,3.553279854
230.2904033,4.636859102
818.9321194,7.273717996
126.4956198,2.505783826
91.41253447,2.85669379
128.0578312,2.714611434
130.9536416,3.447752808
178.8395584,3.19637117
202.7017796,2.889068534
197.9643006,3.862589909
283.4494246,4.454411396
263.8022077,7.218528144
312.9939467,3.822847421
508.4320464,6.892917994
391.1413228,3.810045344
119.7172012,3.569578665
73.05148956,1.94288571
336.0879221,7.163945821
92.22188073,1.81890994
226.5243478,4.191586552
223.2020872,5.163331684
628.5333143,7.269109813
212.4320722,4.12462658
172.7193665,2.133213641
245.3558734,3.667738026
246.5170677,3.848697297
226.876488,3.11987412
164.6523124,1.97131405
123.197432,2.581017191
254.8885593,4.326294405
116.3929784,2.699704433
134.7921235,3.283930609
411.6438296,4.600154707
180.0862604,3.379618284
205.4150321,3.608352018
335.7532391,6.765035641
190.4807428,4.175589024
356.9409208,4.24506877
186.4783678,2.029709204
354.158955,4.190638177
295.4806302,5.842118124
198.4810316,3.383843736
145.820882,2.570769099
134.0983517,2.130227477
193.2031942,2.829995405
178.4570979,3.535734257
180.9585296,3.853695309
349.2980503,5.82671069
190.6980645,3.449416285
376.7454016,7.302308266
170.7483199,2.900786212
347.4911032,5.073391038
171.5057327,2.368612279
238.5859693,4.081405583
347.1911857,4.901689006
180.5062192,2.43294895
178.4462099,3.62042746
565.4833601,7.782652416
343.9680439,8.601536305
178.975239,3.592398039
298.2299562,5.209303298
185.1608028,3.080038674
306.3610276,3.508279617
428.4343721,4.370300265
102.8606828,2.293464758
356.8544935,7.711550953
437.0438953,6.634608723
224.4700509,4.739840843
500.8044828,5.857425202
236.2096655,4.171453501
122.3549517,2.22804919
77.87876591,1.399952497
